temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,cloud_cover_pct,dew_point_c,cloud_type,rain_tomorrow
16.7,61.54,1011.11,19.92,74.66,9.41,Cumulus,Rain
15.59,69.65,1021.31,2.72,34.33,8.31,Cirrus,No Rain
18.37,62.87,1016.25,9.63,14.3,12.0,Cirrus,No Rain
15.83,80.65,1003.09,23.7,0,11.24,Cirrus,Rain
23.98,40.62,1018.78,7.57,26.94,12.87,Cirrus,No Rain
21.15,52.46,1006.26,10.18,48.0,14.44,Cumulus,No Rain
24.92,93.44,1016.05,14.12,78.4,24.75,Cumulus,No Rain
5.01,58.69,1017.79,7.26,72.36,-3.99,Stratus,No Rain
26.57,53.66,1011.44,14.23,75.98,15.09,Cumulus,No Rain
8.26,88.87,1011.85,5.2,62.66,4.82,Stratus,No Rain
29.04,64.4,1027.62,1.88,44.95,21.3,Cumulus,No Rain
7.84,81.33,1017.51,11.82,70.56,3.45,Stratus,Rain
33.52,43.9,1008.58,15.49,93.13,22.42,Cumulus,Rain
6.83,82.7,1012.03,2.37,93.24,1.81,Stratus,Rain
33.71,31.38,1019.92,4.18,71.56,20.05,Cumulus,No Rain
13.31,61.17,1028.16,11.2,11.07,5.06,Cirrus,No Rain
31.03,64.12,1003.06,5.45,67.82,23.02,Cumulus,Rain
28.2,90.48,1016.87,7.59,61.82,25.94,Cumulus,No Rain
19.07,75.39,1021.57,12.21,40.64,14.42,Cumulus,No Rain
12.53,45.1,1016.15,19.6,67.68,1.49,Cumulus,No Rain
22.39,53.45,1015.2,11.18,83.42,13.09,Cumulus,No Rain
38.39,58.88,1011.2,12.49,47.09,28,Cumulus,No Rain
16.5,99.86,1003.94,48.81,63.19,14.67,Cumulonimbus,Rain
13.08,90.81,1009.94,13.77,89.73,11.8,Cumulus,Rain
30.58,100,1016.49,15.11,63.66,28,Cumulus,No Rain
22.53,41.96,1005.78,11.12,0,10.52,Clear,No Rain
18.64,85.03,1008.81,9.18,34.16,16.84,Cirrus,Rain
22.39,77.41,1014.46,8.26,97.18,16.19,Cumulus,Rain
25.05,38.03,993.96,24.38,1.62,11.19,Clear,No Rain
-0.21,84.86,1018.33,8.39,51.18,-4.03,Cumulus,No Rain
-1.49,68.13,1014.0,11.21,44.86,-5.81,Cumulus,No Rain
18.34,63.6,1001.88,11.29,100,12.2,Cumulus,Rain
24.03,42.21,1014.5,9.04,66.72,13.15,Cumulus,No Rain
0.88,65.03,1015.73,22.07,22.57,-5.19,Cirrus,No Rain
34.23,23.89,1018.16,2.64,1.34,17.64,Clear,No Rain
36.09,70.87,1006.15,29.25,63.89,28,Cumulonimbus,Rain
19.82,51.21,1017.18,9.41,57.72,11.01,Cumulus,No Rain
16.5,89.62,1010.83,5.17,51.73,13.39,Cumulus,No Rain
9.14,82.32,1011.63,0.82,98.96,3.75,Stratus,Rain
14.57,59.99,1014.3,17.17,33.75,8.71,Cirrus,No Rain
14.64,84.09,1006.52,5.59,68.49,13.14,Cumulus,Rain
13.05,57.07,1021.57,11.34,37.35,3.35,Cumulus,No Rain
-1.09,72.22,1013.39,4.6,38.63,-7.37,Cumulus,No Rain
11.97,58.35,1006.95,7.88,61.39,3.26,Stratus,No Rain
22.75,94.02,1006.02,20.58,55.74,22.55,Cumulus,Rain
23.88,58.62,1011.71,7.96,6.53,16.19,Cirrus,No Rain
-0.19,37.36,1020.55,19.19,30.69,-11.98,Cirrus,No Rain
8.08,49.7,1012.98,7.93,58.37,-3.43,Cumulus,No Rain
24.53,72.68,1011.04,13.72,79.35,19.28,Cumulus,No Rain
31.75,44.08,1017.49,11.06,1.75,21.82,Clear,No Rain
27.53,38.31,1011.36,9.84,57.08,16.99,Cumulus,No Rain
0.26,38.94,1008.89,7.43,48.75,-11.84,Cumulus,No Rain
13.54,71.79,1007.91,15.87,57.98,6.68,Nimbus,No Rain
25.17,73.49,1008.24,8.16,30.61,20.17,Cirrus,No Rain
26.98,58.68,1016.59,4.17,27.82,19.01,Cirrus,No Rain
18.57,54.32,1007.92,12.23,84.65,9.0,Cumulus,Rain
-0.24,33.2,1009.26,6.35,7.39,-15,Clear,No Rain
8.18,31.24,1025.45,7.02,65.13,-6.35,Stratus,No Rain
11.46,31.85,1014.96,3.3,20.34,-2.41,Cirrus,Rain
15.11,44.65,1016.47,11.41,79.14,3.2,Cumulus,No Rain
5.07,61.05,998.59,21.78,13.15,-1.98,Cirrus,No Rain
7.28,79.83,1009.42,11.76,17.35,2.49,Cirrus,No Rain
13.27,85.61,1008.21,8.52,72.12,11.51,Cumulus,Rain
